band,sample,sex,treatment,count,mass,plasmodium_exp,plasmodium_treat
11,baseline,Male,1,5565,20.56,control,0
11,postdose,Male,1,31310,22.67,control,0
32134,baseline,Male,0,212,18.84,exp,1
32134,postdose,Male,0,3738,17.33,exp,1
32137,baseline,Male,1,46531,20.16,control,0
32137,postdose,Male,1,63614,18.19,control,0
32192,baseline,Male,0,2052,18.33,control,0
32192,postdose,Male,0,1385,18.22,control,0
32195,baseline,Male,1,16705,19.7,exp,1
32195,postdose,Male,1,28643,18.8,exp,1
63776,baseline,Male,1,5582,22.33,exp,1
63776,postdose,Male,1,47095,20.98,exp,1
63777,baseline,Female,1,127,18.61,none,0
63777,postdose,Female,1,0,21.13,none,0
63779,baseline,Female,1,0,20.28,none,0
63779,postdose,Female,1,1495,18.05,none,0
63780,baseline,Female,1,2222,21.4,none,0
63780,postdose,Female,1,988,20.36,none,0
63781,baseline,Male,1,11697,21.79,exp,1
63781,postdose,Male,1,53984,21.55,exp,1
63783,baseline,Female,1,0,20.56,none,0
63783,postdose,Female,1,0,17.88,none,0
63784,baseline,Male,1,14102,18.65,control,0
63784,postdose,Male,1,2792,17.11,control,0
63785,baseline,Male,0,45716,19.35,exp,1
63785,postdose,Male,0,12818,18.22,exp,1
63786,baseline,Male,1,42119,20.6,exp,1
63786,postdose,Male,1,112070,20.73,exp,1
63787,baseline,Male,0,3492,18.1,exp,1
63787,postdose,Male,0,2362,17.9,exp,1
63788,baseline,Male,1,15302,19.4,none,0
63788,postdose,Male,1,85623,19.5,none,0
63789,baseline,Male,1,8347,21.08,control,0
63789,postdose,Male,1,18710,20.75,control,0
63791,baseline,Female,1,6573,18.17,none,0
63791,postdose,Female,1,826,17.86,none,0
63792,baseline,Female,1,1541,21.13,none,0
63792,postdose,Female,1,54232,18.82,none,0
63793,baseline,Male,1,432,18.21,control,0
63793,postdose,Male,1,3918,18.16,control,0
63795,baseline,Male,0,660,19.51,control,0
63795,postdose,Male,0,29888,18.26,control,0
63797,baseline,Male,0,367,18.69,exp,1
63797,postdose,Male,0,7742,19.16,exp,1
63799,baseline,Male,0,1224,18.43,exp,1
63799,postdose,Male,0,47794,18.67,exp,1
