"band","sex","treatment","group","plasmodium_exp","plasmodium_treat","mass_base","mass_postdose","count_base","count_postdose","dcount"
"11","Male","1","mtreat 0","control",0,20.56,22.67,5565,31310,25745
"32134","Male","0","mcontrol 1","exp",1,18.84,17.33,212,3738,3526
"32137","Male","1","mtreat 0","control",0,20.16,18.19,46531,63614,17083
"32192","Male","0","mcontrol 0","control",0,18.33,18.22,2052,1385,-667
"32195","Male","1","mtreat 1","exp",1,19.7,18.8,16705,28643,11938
"63776","Male","1","mtreat 1","exp",1,22.33,20.98,5582,47095,41513
"63777","Female","1","ftreat 0","none",0,18.61,21.13,127,0,-127
"63779","Female","1","ftreat 0","none",0,20.28,18.05,0,1495,1495
"63780","Female","1","ftreat 0","none",0,21.4,20.36,2222,988,-1234
"63781","Male","1","mtreat 1","exp",1,21.79,21.55,11697,53984,42287
"63783","Female","1","ftreat 0","none",0,20.56,17.88,0,0,0
"63784","Male","1","mtreat 0","control",0,18.65,17.11,14102,2792,-11310
"63785","Male","0","mcontrol 1","exp",1,19.35,18.22,45716,12818,-32898
"63786","Male","1","mtreat 1","exp",1,20.6,20.73,42119,112070,69951
"63787","Male","0","mcontrol 1","exp",1,18.1,17.9,3492,2362,-1130
"63788","Male","1","mtreat 0","none",0,19.4,19.5,15302,85623,70321
"63789","Male","1","mtreat 0","control",0,21.08,20.75,8347,18710,10363
"63791","Female","1","ftreat 0","none",0,18.17,17.86,6573,826,-5747
"63792","Female","1","ftreat 0","none",0,21.13,18.82,1541,54232,52691
"63793","Male","1","mtreat 0","control",0,18.21,18.16,432,3918,3486
"63795","Male","0","mcontrol 0","control",0,19.51,18.26,660,29888,29228
"63797","Male","0","mcontrol 1","exp",1,18.69,19.16,367,7742,7375
"63799","Male","0","mcontrol 1","exp",1,18.43,18.67,1224,47794,46570
